Questions,User,Date,Error
How many times have you flown in the past 12 months? (Count a return trip as two),test1,12/19/2018,No
What was the purpose of your most recent trip?,test1,12/19/2018,No
"Please indicate the cabin class you usually fly when travelling for ""Business purpose"".",test1,12/19/2018,No
"Please indicate the cabin class you usually fly when travelling on ""Leisure"".",test1,12/19/2018,No
For your most recent travel where did you purchase your ticket?,test1,12/19/2018,No
The departure and arrival time was favorable,test1,12/19/2018,Yes
The connections were favorable,test1,12/19/2018,No
Airfare was better,test1,12/19/2018,No
I like the service offered on this airline,test1,12/19/2018,No
The check-in staff was helpful and friendly,test1,12/19/2018,No
Baggage handling,test1,12/19/2018,No
How many times have you flown in the past 12 months? (Count a return trip as two),test2,12/17/2018,No
What was the purpose of your most recent trip?,test2,12/17/2018,No
"Please indicate the cabin class you usually fly when travelling for ""Business purpose"".",test2,12/17/2018,No
"Please indicate the cabin class you usually fly when travelling on ""Leisure"".",test2,12/17/2018,No
For your most recent travel where did you purchase your ticket?,test2,12/17/2018,No
The departure and arrival time was favorable,test2,12/17/2018,Yes
The connections were favorable,test2,12/17/2018,No
Airfare was better,test2,12/17/2018,No
I like the service offered on this airline,test2,12/17/2018,No
The check-in staff was helpful and friendly,test2,12/17/2018,No
Baggage handling,test2,12/17/2018,Yes
How many times have you flown in the past 12 months? (Count a return trip as two),test2,12/16/2018,No
What was the purpose of your most recent trip?,test2,12/16/2018,No
"Please indicate the cabin class you usually fly when travelling for ""Business purpose"".",test2,12/16/2018,No
"Please indicate the cabin class you usually fly when travelling on ""Leisure"".",test2,12/16/2018,No
For your most recent travel where did you purchase your ticket?,test2,12/16/2018,No
The departure and arrival time was favorable,test2,12/16/2018,Yes
The connections were favorable,test2,12/16/2018,No
Airfare was better,test2,12/16/2018,No
I like the service offered on this airline,test2,12/16/2018,No
The check-in staff was helpful and friendly,test2,12/16/2018,No
Baggage handling,test2,12/16/2018,Yes
How many times have you flown in the past 12 months? (Count a return trip as two),test1,12/15/2018,No
What was the purpose of your most recent trip?,test1,12/15/2018,No
"Please indicate the cabin class you usually fly when travelling for ""Business purpose"".",test1,12/15/2018,No
"Please indicate the cabin class you usually fly when travelling on ""Leisure"".",test1,12/15/2018,No
For your most recent travel where did you purchase your ticket?,test1,12/15/2018,No
The departure and arrival time was favorable,test1,12/15/2018,Yes
The connections were favorable,test1,12/15/2018,No
Airfare was better,test1,12/15/2018,No
I like the service offered on this airline,test1,12/15/2018,No
The check-in staff was helpful and friendly,test1,12/15/2018,No
Baggage handling,test1,12/15/2018,No
How many times have you flown in the past 12 months? (Count a return trip as two),test2,12/15/2018,No
What was the purpose of your most recent trip?,test2,12/15/2018,No
"Please indicate the cabin class you usually fly when travelling for ""Business purpose"".",test2,12/15/2018,No
"Please indicate the cabin class you usually fly when travelling on ""Leisure"".",test2,12/15/2018,No
For your most recent travel where did you purchase your ticket?,test2,12/15/2018,No
The departure and arrival time was favorable,test2,12/15/2018,Yes
The connections were favorable,test2,12/15/2018,No
Airfare was better,test2,12/15/2018,No
I like the service offered on this airline,test2,12/15/2018,No
The check-in staff was helpful and friendly,test2,12/15/2018,No
Baggage handling,test2,12/15/2018,No
Others,test1,12/15/2018,No
